id,season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
1,2017,City1,Team1,Team5,Team5,field,normal,0,Team1,35,0,Player 467,Stadium1
2,2017,City2,Team2,Team4,Team4,field,normal,0,Team4,0,7,Player 405,Stadium2
3,2017,City3,Team3,Team6,Team6,field,normal,0,Team6,0,10,Player 85,Stadium3
4,2017,City4,Team4,Team8,Team8,field,normal,0,Team8,0,6,Player 145,Stadium4
5,2017,City5,Team5,Team7,Team5,bat,normal,0,Team5,15,0,Player 209,Stadium5
6,2017,City1,Team3,Team1,Team1,field,normal,0,Team1,0,9,Player 326,Stadium1
7,2017,City6,Team6,Team2,Team2,field,normal,0,Team2,0,4,Player 278,Stadium6
8,2017,City4,Team5,Team8,Team5,bat,normal,0,Team8,0,8,Player 51,Stadium4
9,2017,City2,Team7,Team4,Team4,field,normal,0,Team7,97,0,Player 415,Stadium2
10,2017,City6,Team1,Team2,Team2,field,normal,0,Team2,0,4,Player 180,Stadium6
11,2017,City8,Team8,Team6,Team6,field,normal,0,Team6,0,8,Player 404,Stadium7
12,2017,City5,Team5,Team2,Team2,field,normal,0,Team2,0,4,Player 193,Stadium5
13,2017,City3,Team4,Team3,Team3,field,normal,0,Team3,0,7,Player 37,Stadium3
14,2017,City8,Team6,Team1,Team1,field,normal,0,Team6,17,0,Player 348,Stadium7
15,2017,City9,Team7,Team8,Team7,bat,normal,0,Team7,51,0,Player 89,Stadium8
16,2017,City6,Team3,Team2,Team2,field,normal,0,Team2,0,6,Player 278,Stadium6
17,2017,City5,Team4,Team5,Team5,field,normal,0,Team4,27,0,Player 65,Stadium5
18,2017,City9,Team7,Team6,Team7,bat,normal,0,Team6,0,4,Player 286,Stadium8
19,2017,City1,Team1,Team8,Team8,field,normal,0,Team1,5,0,Player 60,Stadium1
20,2017,City3,Team5,Team3,Team3,field,normal,0,Team5,21,0,Player 87,Stadium3
21,2017,City1,Team1,Team7,Team1,bat,normal,0,Team1,15,0,Player 213,Stadium1
22,2017,City4,Team8,Team2,Team2,field,normal,0,Team2,0,8,Player 172,Stadium4
23,2017,City8,Team6,Team3,Team3,field,normal,0,Team3,0,4,Player 390,Stadium7
24,2017,City6,Team2,Team7,Team7,field,normal,0,Team2,14,0,Player 256,Stadium6
25,2017,City2,Team1,Team4,Team4,field,normal,0,Team4,0,6,Player 273,Stadium2
26,2017,City3,Team8,Team3,Team3,field,normal,0,Team8,26,0,Player 154,Stadium3
27,2017,City8,Team6,Team5,Team5,field,normal,0,Team6,82,0,Player 286,Stadium7
28,2017,City6,Team4,Team2,Team2,field,normal,0,Team4,3,0,Player 65,Stadium6
29,2017,City2,Team4,Team6,Team6,field,normal,0,Team6,0,7,Player 348,Stadium2
30,2017,City5,Team5,Team3,Team3,field,normal,0,Team3,0,7,Player 37,Stadium5
31,2017,City8,Team7,Team6,Team6,field,normal,0,Team6,0,7,Player 139,Stadium7
32,2017,City10,Team1,Team8,Team8,field,normal,0,Team1,26,0,Player 326,Stadium9
33,2017,City2,Team4,Team5,Team5,field,normal,0,Team4,61,0,Player 222,Stadium2
34,2017,City3,Team3,Team2,Team3,bat,tie,0,Team2,0,0,Player 203,Stadium3
35,2017,City10,Team7,Team8,Team8,field,normal,0,Team8,0,10,Player 373,Stadium9
36,2017,City1,Team1,Team6,Team6,field,normal,0,Team1,48,0,Player 105,Stadium1
37,2017,City6,Team5,Team2,Team5,bat,normal,0,Team2,0,5,Player 331,Stadium6
38,2017,City2,Team3,Team4,Team4,field,normal,0,Team4,0,5,Player 65,Stadium2
39,2017,City9,Team1,Team7,Team7,field,normal,0,Team7,0,6,Player 268,Stadium8
40,2017,City8,Team6,Team4,Team4,field,normal,0,Team4,0,4,Player 325,Stadium7
41,2017,City9,Team3,Team7,Team7,field,normal,0,Team7,0,7,Player 338,Stadium8
42,2017,City5,Team8,Team5,Team5,field,normal,0,Team8,19,0,Player 373,Stadium5
43,2017,City1,Team4,Team1,Team1,field,normal,0,Team4,12,0,Player 174,Stadium1
44,2017,City9,Team2,Team7,Team7,field,normal,0,Team2,146,0,Player 224,Stadium8
45,2017,City5,Team5,Team6,Team6,field,normal,0,Team6,0,6,Player 404,Stadium5
46,2017,City10,Team8,Team3,Team3,field,normal,0,Team3,0,6,Player 127,Stadium9
47,2017,City1,Team2,Team1,Team2,bat,normal,0,Team1,0,7,Player 354,Stadium1
48,2017,City10,Team8,Team6,Team6,field,normal,0,Team8,14,0,Player 261,Stadium9
49,2017,City11,Team3,Team7,Team7,field,normal,0,Team7,0,2,Player 408,Stadium10
50,2017,City6,Team8,Team2,Team2,field,normal,0,Team8,7,0,Player 456,Stadium6
51,2017,City9,Team7,Team4,Team7,bat,normal,0,Team7,7,0,Player 207,Stadium8
52,2017,City11,Team3,Team1,Team1,field,normal,0,Team1,0,8,Player 269,Stadium10
53,2017,City8,Team2,Team6,Team6,field,normal,0,Team2,9,0,Player 55,Stadium7
54,2017,City2,Team8,Team4,Team4,field,normal,0,Team4,0,9,Player 174,Stadium2
55,2017,City9,Team5,Team7,Team5,bat,normal,0,Team5,10,0,Player 155,Stadium8
56,2017,City6,Team4,Team2,Team2,field,normal,0,Team4,20,0,Player 454,Stadium6
57,2017,City5,Team1,Team6,Team6,field,normal,1,Team6,0,7,Player 286,Stadium5
58,2017,City5,Team6,Team2,Team2,field,normal,0,Team2,0,6,Player 215,Stadium5
59,2017,City1,Team2,Team4,Team2,bat,normal,0,Team2,1,0,Player 203,Stadium1
60,2008,City5,Team6,Team5,Team5,field,normal,0,Team6,140,0,Player 68,Stadium5
61,2008,City10,Team10,Team8,Team10,bat,normal,0,Team10,33,0,Player 249,stadium35
62,2008,City9,Team9,Team7,Team9,bat,normal,0,Team7,0,9,Player 250,Stadium8
63,2008,City6,Team2,Team5,Team2,bat,normal,0,Team5,0,5,Player 277,Stadium6
64,2008,City8,Team1,Team6,Team1,bat,normal,0,Team6,0,5,Player 114,Stadium7
65,2008,City12,Team8,Team9,Team8,bat,normal,0,Team9,0,6,Player 407,Stadium11
66,2008,City1,Team1,Team7,Team1,bat,normal,0,Team7,0,9,Player 442,Stadium1
67,2008,City13,Team10,Team2,Team2,field,normal,0,Team10,6,0,Player 259,Stadium12
68,2008,City1,Team1,Team9,Team9,field,normal,0,Team9,0,3,Player 464,Stadium1
69,2008,City10,Team8,Team2,Team2,field,normal,0,Team8,66,0,Player 201,stadium35
